_id,Word,Type
ObjectId("5ced7bb6c199633b78c34c6e"),аеродром,Именка
ObjectId("5ced7bb8c199633b78c34c6f"),аерозагадување,Именка
ObjectId("5ced7bb9c199633b78c34c70"),аероклуб,Именка
ObjectId("5ced7bb9c199633b78c34c71"),аеролит,Именка
ObjectId("5ced7bbac199633b78c34c72"),аерометар,Именка
ObjectId("5ced7bbac199633b78c34c73"),аеромеханика,Именка
ObjectId("5ced7bbdc199633b78c34c74"),аеромитинг,Именка
ObjectId("5ced7bbdc199633b78c34c75"),аеронаут,Именка
ObjectId("5ced7bbec199633b78c34c76"),аеронаутика,Именка
ObjectId("5ced7bbec199633b78c34c77"),аероплан,Именка
ObjectId("5ced7bbfc199633b78c34c78"),аеросол,Именка
ObjectId("5ced7bc1c199633b78c34c79"),аеростат,Именка
ObjectId("5ced7bc1c199633b78c34c7a"),аеротранспорт,Именка
ObjectId("5ced7bc3c199633b78c34c7b"),аерофобија,Именка
ObjectId("5ced7bc4c199633b78c34c7c"),аждаја,Именка
ObjectId("5ced7bc5c199633b78c34c7d"),аждер,Именка
ObjectId("5ced7bc7c199633b78c34c7e"),ажур,Именка
ObjectId("5ced7bc8c199633b78c34c7f"),ажурен,Придавка
ObjectId("5ced7bc9c199633b78c34c80"),ажурира,Глагол
ObjectId("5ced7bcbc199633b78c34c81"),азалеја,Именка
ObjectId("5ced7bcdc199633b78c34c82"),азар,Придавка
ObjectId("5ced7bcfc199633b78c34c83"),азбест,Именка
ObjectId("5ced7bcfc199633b78c34c84"),азбестен,Придавка
ObjectId("5ced7bd3c199633b78c34c85"),азбука,Именка
ObjectId("5ced7bd4c199633b78c34c86"),азбучен,Придавка
ObjectId("5ced7bd5c199633b78c34c87"),азбучник,Именка
ObjectId("5ced7bd7c199633b78c34c88"),азган,Придавка
ObjectId("5ced7bd8c199633b78c34c89"),аздиса,Глагол
ObjectId("5ced7bd9c199633b78c34c8a"),Азербејџан,Име
ObjectId("5ced7bdac199633b78c34c8b"),Азија,Име
ObjectId("5ced7bddc199633b78c34c8c"),азил,Именка
ObjectId("5ced7bdfc199633b78c34c8d"),азилант,Именка
ObjectId("5ced7be0c199633b78c34c8e"),азимут,Именка
ObjectId("5ced7be2c199633b78c34c8f"),азиски,Придавка
ObjectId("5ced7bf0c199633b78c34c90"),азна,Именка
ObjectId("5ced7bf3c199633b78c34c91"),азнадар,Именка
ObjectId("5ced7bf5c199633b78c34c92"),азнатар,Именка
ObjectId("5ced7bf7c199633b78c34c93"),азно,Именка
ObjectId("5ced7bf8c199633b78c34c94"),азот,Именка
ObjectId("5ced7bf9c199633b78c34c95"),азотен,Придавка
ObjectId("5ced7bfac199633b78c34c96"),азур,Именка
ObjectId("5ced7bfcc199633b78c34c97"),азурен,Придавка
ObjectId("5ced7bffc199633b78c34c98"),аи,Извик
ObjectId("5ced7c01c199633b78c34c99"),аир,Именка
ObjectId("5ced7c02c199633b78c34c9a"),аирлија,Придавка
ObjectId("5ced7c02c199633b78c34c9b"),аирџија,Именка
ObjectId("5ced7c04c199633b78c34c9c"),ај,Извик
ObjectId("5ced7c06c199633b78c34c9d"),ај,Честичка
ObjectId("5ced7c07c199633b78c34c9e"),ајазма,Именка
ObjectId("5ced7c09c199633b78c34c9f"),ајат,Именка
ObjectId("5ced7c09c199633b78c34ca0"),ајатолах,Именка
ObjectId("5ced7c0ac199633b78c34ca1"),ајва,Именка
ObjectId("5ced7c0bc199633b78c34ca2"),ајван,Именка
ObjectId("5ced7c0cc199633b78c34ca3"),ајвар,Именка
ObjectId("5ced7c0ec199633b78c34ca4"),ајгар,Именка
ObjectId("5ced7c0fc199633b78c34ca5"),ајгарува,Глагол
ObjectId("5ced7c0fc199633b78c34ca6"),ајдамак,Именка
ObjectId("5ced7c10c199633b78c34ca7"),ајде,Честичка
ObjectId("5ced7c12c199633b78c34ca8"),ајдук,Именка
ObjectId("5ced7c14c199633b78c34ca9"),ајдуков,Придавка
ObjectId("5ced7c15c199633b78c34caa"),ајдукува,Глагол
ObjectId("5ced7c16c199633b78c34cab"),ајдут,Именка
ObjectId("5ced7c16c199633b78c34cac"),ајдутство,Именка
ObjectId("5ced7c18c199633b78c34cad"),ајдутува,Глагол
ObjectId("5ced7c19c199633b78c34cae"),ајдучица,Именка
ObjectId("5ced7c1ac199633b78c34caf"),ајкула,Именка
ObjectId("5ced7c1bc199633b78c34cb0"),ајлак,Именка
ObjectId("5ced7c1ec199633b78c34cb1"),ајле,Прилог
ObjectId("5ced7c1fc199633b78c34cb2"),ајљаз,Именка
ObjectId("5ced7c20c199633b78c34cb3"),ајљази,Глагол
ObjectId("5ced7c21c199633b78c34cb4"),ајљазлак,Именка
ObjectId("5ced7c23c199633b78c34cb5"),ајмана,Именка
ObjectId("5ced7c24c199633b78c34cb6"),ајнц,Именка
ObjectId("5ced7c26c199633b78c34cb7"),ајс,Извик
ObjectId("5ced7c28c199633b78c34cb8"),ајта,Именка
ObjectId("5ced7c2bc199633b78c34cb9"),ак,Именка
ObjectId("5ced7c2ec199633b78c34cba"),ака,Глагол
ObjectId("5ced7c2fc199633b78c34cbb"),академец,Именка
ObjectId("5ced7c30c199633b78c34cbc"),академизам,Именка
ObjectId("5ced7c31c199633b78c34cbd"),академија,Именка
ObjectId("5ced7c31c199633b78c34cbe"),академик,Именка
ObjectId("5ced7c32c199633b78c34cbf"),академски,Придавка
ObjectId("5ced7c33c199633b78c34cc0"),акал,Именка
ObjectId("5ced7c35c199633b78c34cc1"),акален,Придавка
ObjectId("5ced7c36c199633b78c34cc2"),акалец,Именка
ObjectId("5ced7c37c199633b78c34cc3"),акација,Именка
ObjectId("5ced7c37c199633b78c34cc4"),аквадукт,Именка
ObjectId("5ced7c38c199633b78c34cc5"),аквакултура,Именка
ObjectId("5ced7c3ac199633b78c34cc6"),аквамарин,Именка
ObjectId("5ced7c3bc199633b78c34cc7"),акварел,Именка
ObjectId("5ced7c3bc199633b78c34cc8"),акварелен,Придавка
ObjectId("5ced7c3cc199633b78c34cc9"),акварелист,Именка
ObjectId("5ced7c3cc199633b78c34cca"),аквариум,Именка
ObjectId("5ced7c3ec199633b78c34ccb"),акватинта,Именка
ObjectId("5ced7c3fc199633b78c34ccc"),акведукт,Именка
ObjectId("5ced7c3fc199633b78c34ccd"),аквизитер,Именка
ObjectId("5ced7c40c199633b78c34cce"),акламација,Именка
ObjectId("5ced7c41c199633b78c34ccf"),акламира,Глагол
ObjectId("5ced7c42c199633b78c34cd0"),аклија,Придавка
ObjectId("5ced7c44c199633b78c34cd1"),аклиматизација,Именка
ObjectId("5ced7c45c199633b78c34cd2"),аклиматизира,Глагол
ObjectId("5ced7c46c199633b78c34cd3"),акмак,Именка
ObjectId("5ced7c48c199633b78c34cd4"),акна,Именка
ObjectId("5ced7c4ac199633b78c34cd5"),акнат,Придавка
ObjectId("5ced7c4cc199633b78c34cd6"),акне,Глагол
ObjectId("5ced7c4cc199633b78c34cd7"),ако,Честичка
ObjectId("5ced7c4fc199633b78c34cd8"),ако,Сврзник
ObjectId("5ced7c50c199633b78c34cd9"),акомодација,Именка
ObjectId("5ced7c52c199633b78c34cda"),акомодира,Глагол
ObjectId("5ced7c53c199633b78c34cdb"),аконтација,Именка
ObjectId("5ced7c54c199633b78c34cdc"),акорд,Именка
ObjectId("5ced7c55c199633b78c34cdd"),акордеон,Именка
ObjectId("5ced7c56c199633b78c34cde"),акран,Именка
ObjectId("5ced7c58c199633b78c34cdf"),акредитација,Именка
ObjectId("5ced7c59c199633b78c34ce0"),акредитив,Именка
ObjectId("5ced7c59c199633b78c34ce1"),акредитира,Глагол
ObjectId("5ced7c5ac199633b78c34ce2"),акреп,Именка
ObjectId("5ced7c5bc199633b78c34ce3"),акрибија,Именка
ObjectId("5ced7c5dc199633b78c34ce4"),акрил,Именка
ObjectId("5ced7c5dc199633b78c34ce5"),акрилен,Придавка
ObjectId("5ced7c5ec199633b78c34ce6"),акробат,Именка
ObjectId("5ced7c5fc199633b78c34ce7"),акробатика,Именка
ObjectId("5ced7c5fc199633b78c34ce8"),акробација,Именка
ObjectId("5ced7c61c199633b78c34ce9"),акроним,Именка
ObjectId("5ced7c61c199633b78c34cea"),акропол,Именка
ObjectId("5ced7c62c199633b78c34ceb"),акростих,Именка
ObjectId("5ced7c63c199633b78c34cec"),аксесоар,Именка
ObjectId("5ced7c63c199633b78c34ced"),аксиологија,Именка
ObjectId("5ced7c66c199633b78c34cee"),аксиом,Именка
ObjectId("5ced7c67c199633b78c34cef"),аксиома,Именка
ObjectId("5ced7c68c199633b78c34cf0"),аксолотл,Именка
ObjectId("5ced7c6ac199633b78c34cf1"),акт,Именка
ObjectId("5ced7c6bc199633b78c34cf2"),актант,Именка
ObjectId("5ced7c6ec199633b78c34cf3"),актер,Именка
ObjectId("5ced7c6fc199633b78c34cf4"),актерство,Именка
ObjectId("5ced7c70c199633b78c34cf5"),акти,Именка
ObjectId("5ced7c71c199633b78c34cf6"),актив,Именка
ObjectId("5ced7c72c199633b78c34cf7"),актива,Именка
ObjectId("5ced7c74c199633b78c34cf8"),активен,Придавка
ObjectId("5ced7c75c199633b78c34cf9"),активизира,Глагол
ObjectId("5ced7c75c199633b78c34cfa"),активира,Глагол
ObjectId("5ced7c76c199633b78c34cfb"),активист,Именка
ObjectId("5ced7c77c199633b78c34cfc"),активност,Именка
ObjectId("5ced7c78c199633b78c34cfd"),актинидија,Именка
ObjectId("5ced7c79c199633b78c34cfe"),актовка,Именка
ObjectId("5ced7c7ac199633b78c34cff"),акт-студија,Именка
ObjectId("5ced7c7bc199633b78c34d00"),актуализација,Именка
ObjectId("5ced7c7bc199633b78c34d01"),актуализира,Глагол
ObjectId("5ced7c7dc199633b78c34d02"),актуар,Именка
